Idx,target
7826.0,0.0
19116.0,0.0
17155.0,0.0
53425.0,0.0
3275.0,0.0
67947.0,1.0
18835.0,0.0
57240.0,0.0
21759.0,0.0
11606.0,0.0
37319.0,0.0
3241.0,1.0
31779.0,0.0
90439.0,1.0
10301.0,0.0
73876.0,0.0
81474.0,0.0
13977.0,0.0
61537.0,0.0
55076.0,0.0
10267.0,1.0
26947.0,0.0
65352.0,0.0
67452.0,0.0
60545.0,0.0
91608.0,0.0
22089.0,0.0
75527.0,0.0
4881.0,0.0
38924.0,0.0
90319.0,0.0
44439.0,0.0
2291.0,0.0
5983.0,0.0
85618.0,1.0
37887.0,1.0
43390.0,0.0
66696.0,0.0
37446.0,0.0
60061.0,0.0
127.0,0.0
32649.0,0.0
54092.0,0.0
8442.0,0.0
47441.0,0.0
69478.0,0.0
25113.0,0.0
62423.0,0.0
51246.0,0.0
76522.0,1.0
55772.0,0.0
56883.0,0.0
12257.0,0.0
48287.0,0.0
2637.0,0.0
52332.0,0.0
86641.0,0.0
74543.0,0.0
80774.0,0.0
27632.0,1.0
67298.0,0.0
55297.0,0.0
10093.0,0.0
4480.0,1.0
3442.0,0.0
28152.0,0.0
63628.0,0.0
85649.0,0.0
54438.0,0.0
80555.0,0.0
13058.0,0.0
6423.0,0.0
5829.0,0.0
64714.0,0.0
88886.0,0.0
14144.0,0.0
55570.0,0.0
11298.0,0.0
45623.0,0.0
77226.0,0.0
19382.0,1.0
42110.0,0.0
69324.0,0.0
46745.0,0.0
60975.0,1.0
44887.0,0.0
46428.0,0.0
30587.0,0.0
24065.0,0.0
69009.0,1.0
60509.0,0.0
58548.0,0.0
19129.0,0.0
22647.0,0.0
76069.0,0.0
68824.0,0.0
1343.0,0.0
25499.0,0.0
90037.0,0.0
42426.0,0.0
66809.0,0.0
72061.0,0.0
64560.0,0.0
55964.0,0.0
41121.0,0.0
26994.0,1.0
27241.0,0.0
61566.0,0.0
57050.0,0.0
843.0,0.0
19175.0,0.0
24001.0,0.0
17214.0,0.0
16465.0,0.0
87654.0,0.0
74491.0,0.0
38764.0,0.0
61379.0,0.0
25626.0,0.0
32113.0,0.0
19081.0,0.0
43147.0,0.0
9785.0,0.0
16016.0,0.0
3150.0,0.0
33957.0,0.0
7676.0,0.0
90881.0,0.0
52845.0,0.0
50884.0,0.0
75040.0,0.0
76137.0,1.0
5274.0,1.0
66444.0,0.0
28392.0,0.0
29949.0,0.0
48334.0,1.0
46620.0,0.0
17650.0,1.0
18491.0,0.0
49298.0,0.0
23017.0,0.0
34684.0,0.0
36975.0,0.0
65227.0,0.0
52345.0,0.0
17616.0,0.0
21546.0,0.0
80787.0,0.0
78058.0,0.0
2369.0,0.0
408.0,0.0
25947.0,0.0
82887.0,0.0
24642.0,0.0
56412.0,0.0
8801.0,0.0
20819.0,1.0
45855.0,0.0
15878.0,0.0
55333.0,1.0
8317.0,0.0
80084.0,0.0
39568.0,1.0
69337.0,0.0
70894.0,0.0
31475.0,0.0
59877.0,1.0
87565.0,0.0
42939.0,0.0
5077.0,0.0
31194.0,0.0
30344.0,0.0
20463.0,0.0
17478.0,0.0
41634.0,0.0
67767.0,0.0
1637.0,0.0
62079.0,0.0
84694.0,0.0
82733.0,0.0
69054.0,0.0
16199.0,0.0
533.0,0.0
34124.0,0.0
85524.0,0.0
18283.0,0.0
11632.0,0.0
35804.0,0.0
64589.0,0.0
52731.0,0.0
8382.0,0.0
47381.0,0.0
15980.0,0.0
79555.0,0.0
69402.0,0.0
38191.0,0.0
70095.0,1.0
51426.0,0.0
27366.0,0.0
68097.0,0.0
36886.0,0.0
90564.0,0.0
5389.0,1.0
17543.0,0.0
53813.0,0.0
79930.0,0.0
69199.0,0.0
25232.0,0.0
19223.0,0.0
36150.0,0.0
39652.0,0.0
63808.0,0.0
29095.0,0.0
63230.0,0.0
20309.0,0.0
23555.0,0.0
15215.0,0.0
34845.0,0.0
372.0,0.0
31886.0,0.0
51772.0,0.0
41471.0,0.0
42582.0,0.0
16045.0,0.0
10622.0,0.0
35931.0,0.0
4704.0,0.0
15257.0,0.0
45803.0,0.0
2882.0,0.0
69975.0,0.0
65459.0,0.0
63571.0,1.0
80251.0,0.0
45522.0,0.0
57923.0,0.0
51272.0,0.0
88326.0,0.0
35184.0,1.0
38876.0,1.0
29240.0,1.0
89412.0,0.0
16128.0,1.0
76530.0,0.0
2398.0,0.0
38842.0,0.0
32207.0,0.0
61990.0,0.0
26223.0,1.0
75152.0,1.0
77360.0,0.0
68764.0,0.0
39498.0,0.0
61709.0,0.0
56425.0,0.0
21696.0,0.0
8830.0,0.0
78636.0,0.0
35715.0,0.0
17145.0,0.0
41317.0,0.0
7551.0,0.0
28722.0,0.0
84105.0,0.0
22517.0,0.0
11340.0,0.0
74915.0,0.0
48634.0,0.0
12881.0,0.0
2728.0,0.0
65305.0,0.0
11059.0,0.0
9098.0,0.0
80097.0,0.0
1869.0,0.0
31232.0,0.0
86467.0,0.0
54810.0,0.0
10184.0,0.0
72331.0,0.0
59449.0,0.0
83027.0,0.0
10840.0,0.0
1438.0,0.0
34418.0,0.0
64821.0,0.0
54344.0,1.0
9981.0,0.0
40368.0,0.0
18890.0,0.0
85537.0,0.0
83832.0,0.0
21558.0,0.0
9700.0,0.0
43416.0,0.0
32832.0,0.0
62394.0,1.0
61100.0,0.0
59139.0,0.0
85256.0,0.0
49775.0,0.0
75892.0,0.0
16595.0,0.0
7397.0,0.0
16726.0,0.0
12210.0,0.0
68126.0,0.0
72652.0,0.0
32399.0,0.0
85053.0,0.0
10738.0,1.0
74736.0,0.0
79959.0,0.0
1715.0,0.0
5217.0,0.0
15006.0,1.0
10624.0,0.0
75582.0,0.0
1434.0,0.0
29108.0,0.0
83897.0,0.0
67626.0,0.0
65665.0,0.0
31899.0,0.0
30441.0,1.0
75957.0,0.0
67405.0,0.0
1231.0,0.0
27348.0,0.0
90923.0,0.0
15777.0,0.0
45816.0,0.0
2911.0,0.0
66486.0,0.0
71693.0,0.0
26473.0,0.0
62503.0,0.0
19838.0,0.0
23084.0,0.0
21123.0,0.0
76762.0,0.0
80008.0,0.0
12783.0,0.0
3741.0,0.0
60921.0,0.0
49340.0,0.0
56938.0,0.0
77592.0,0.0
9343.0,0.0
57671.0,0.0
63902.0,0.0
53155.0,0.0
89425.0,0.0
10767.0,0.0
15293.0,0.0
35179.0,0.0
1561.0,0.0
73584.0,0.0
38871.0,0.0
55352.0,0.0
86175.0,0.0
10742.0,0.0
39527.0,0.0
37566.0,0.0
54493.0,0.0
45881.0,0.0
47561.0,0.0
36830.0,0.0
7308.0,0.0
84134.0,0.0
82429.0,0.0
50772.0,0.0
55042.0,0.0
15639.0,0.0
2757.0,0.0
11511.0,0.0
30605.0,0.0
78048.0,0.0
3340.0,1.0
45397.0,0.0
8113.0,0.0
62324.0,0.0
81954.0,0.0
22905.0,0.0
48188.0,0.0
73464.0,1.0
14615.0,1.0
63154.0,0.0
89287.0,0.0
87326.0,0.0
74444.0,0.0
15139.0,0.0
72079.0,0.0
32066.0,0.0
19184.0,0.0
16225.0,0.0
2239.0,1.0
18919.0,0.0
18069.0,0.0
87107.0,0.0
4363.0,0.0
71266.0,0.0
76673.0,0.0
12694.0,0.0
29621.0,0.0
26399.0,0.0
55144.0,0.0
48509.0,0.0
81014.0,0.0
38800.0,1.0
12771.0,0.0
39897.0,0.0
52624.0,0.0
63475.0,0.0
2999.0,0.0
50337.0,0.0
56824.0,0.0
43702.0,0.0
14436.0,0.0
35090.0,0.0
40743.0,0.0
2569.0,1.0
88303.0,0.0
86342.0,0.0
43421.0,0.0
75595.0,0.0
39438.0,0.0
63850.0,0.0
85887.0,0.0
21636.0,0.0
11739.0,0.0
41522.0,0.0
